route_id,source_name,source_description,display_name,display_summary,display_description,garmin_name,distance_miles,origin,gpx_file_name,gpx_url,garmin_url,garmin_embed_url,notes
6240908,Loose Park,Mission Hills - 55th to High Dr to 63rd and back Trolley Trail to 51st,Loose Park,,Mission Hills - 55th to High Dr to 63rd and back Trolley Trail to 51st,"Loose Park: Mission Hills - 55th, High, 63rd",5.3062,loose_park,6240908-Loose-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/6240908-Loose-Park.gpx,https://connect.garmin.com/app/course/439244237,,
6226633,Kauffman Gardens,"Kauffman Center Lake, Brush Creek to Madison, east on 47th to Mill Creek, north to 43rd, north to 42nd, east through Gillham Park Trail to Harrison back to Kauffman Gardens",Kauffman Gardens,,"Kauffman Center Lake, Brush Creek to Madison, east on 47th to Mill Creek, north to 43rd, north to 42nd, east through Gillham Park Trail to Harrison back to Kauffman Gardens","Kauffman Gardens: Kauffman Center Lake, Brush Creek, Madison",5.0175,mill_creek,6226633-Kauffman-Gardens.gpx,https://kcfrontrunners.github.io/routes/gpx/6226633-Kauffman-Gardens.gpx,https://connect.garmin.com/app/course/439244254,,
6190628,Hyde Park,Kauffman Legacy Lake,Hyde Park,,Kauffman Legacy Lake,Hyde Park: Kauffman Legacy Lake,4.8733,sunday,6190628-Hyde-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/6190628-Hyde-Park.gpx,https://connect.garmin.com/app/course/439244268,,
6180882,Mill Creek,"Rockhilll, UMKC Stairs, 51st St to 52nd St down Sunset to the Plaza, across the pedestrian bridge to Ward Parkway east to Mill Creek Park.",Mill Creek,,"Rockhilll, UMKC Stairs, 51st St to 52nd St down Sunset to the Plaza, across the pedestrian bridge to Ward Parkway east to Mill Creek Park.","Mill Creek: Rockhilll, UMKC Stairs, 51st",4.2668,mill_creek,6180882-Mill-Creek.gpx,https://kcfrontrunners.github.io/routes/gpx/6180882-Mill-Creek.gpx,https://connect.garmin.com/app/course/439244290,,
6095074,Loose Park,"51st, Cherry, Rockhill, 43rd, Mill Creek, Plaza, Sunset Dr",Loose Park,,"51st, Cherry, Rockhill, 43rd, Mill Creek, Plaza, Sunset Dr","Loose Park: 51st, Cherry, Rockhill",5.0742,loose_park,6095074-Loose-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/6095074-Loose-Park.gpx,https://connect.garmin.com/app/course/439244484,,
6087051,Loose Park,"51st, Trolley Trail, Meyer, Ward Parkway, 55th",Loose Park,,"51st, Trolley Trail, Meyer, Ward Parkway, 55th","Loose Park: 51st, Trolley Trail, Meyer",4.6734,loose_park,6087051-Loose-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/6087051-Loose-Park.gpx,https://connect.garmin.com/app/course/439244493,,
6061177,Mill Creek,"N on Pennsylvania, around Penn Valley Lake, S on Pennsylvania to Mill Creek Park",Mill Creek,,"N on Pennsylvania, around Penn Valley Lake, S on Pennsylvania to Mill Creek Park","Mill Creek: on Pennsylvania, around Penn Valley Lake, Mill Creek Park",5.0708,mill_creek,6061177-Mill-Creek.gpx,https://kcfrontrunners.github.io/routes/gpx/6061177-Mill-Creek.gpx,https://connect.garmin.com/app/course/439244512,,
6056878,Tomahawk Creek Trail,Long route - 7 miles,Tomahawk Creek Trail,,Long route - 7 miles,Tomahawk Creek Trail: Long route - 7,6.9097,sunday,6056878-Tomahawk-Creek-Trail.gpx,https://kcfrontrunners.github.io/routes/gpx/6056878-Tomahawk-Creek-Trail.gpx,https://connect.garmin.com/app/course/439244663,,
6052735,Loose Park,Belleview/63rd/Trolley Trail,Loose Park,,Belleview/63rd/Trolley Trail,Loose Park: Belleview/63rd/Trolley Trail,4.1525,loose_park,6052735-Loose-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/6052735-Loose-Park.gpx,https://connect.garmin.com/app/course/439244680,,
6025122,Loose Park,Summit south to Gregory & back the Trolley Trail,Loose Park,,Summit south to Gregory & back the Trolley Trail,"Loose Park: Summit, Gregory & Trolley Trail",6.0522,loose_park,6025122-Loose-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/6025122-Loose-Park.gpx,https://connect.garmin.com/app/course/439244705,,
6025119,Loose Park,Summit south to 63rd east to Trolley Trail back to park,Loose Park,,Summit south to 63rd east to Trolley Trail back to park,"Loose Park: Summit, 63rd, Trolley Trail",3.9984,loose_park,6025119-Loose-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/6025119-Loose-Park.gpx,https://connect.garmin.com/app/course/439244718,,
6003283,Valentine,South on Pennsylvania to Westport Rd west to Roanoke Rd south,Valentine,,South on Pennsylvania to Westport Rd west to Roanoke Rd south,"Valentine: on Pennsylvania, Westport, Roanoke",5.0514,sunday,6003283-Valentine.gpx,https://kcfrontrunners.github.io/routes/gpx/6003283-Valentine.gpx,https://connect.garmin.com/app/course/439244759,,
5994850,Armour Hills - Extended Run,Armour Hills 6 Mile Run,Armour Hills - Extended Run,,Armour Hills 6 Mile Run,Armour Hills - Extended Run: Armour Hills 6 Mile,6.3081,sunday,5994850-Armour-Hills-Extended-Run.gpx,https://kcfrontrunners.github.io/routes/gpx/5994850-Armour-Hills-Extended-Run.gpx,https://connect.garmin.com/app/course/439244812,,
5989146,Indian Creek Trail West,Indian Creek Trail West to College Blvd,Indian Creek Trail West,,Indian Creek Trail West to College Blvd,"Indian Creek Trail West: Indian Creek Trail, College",5.0195,sunday,5989146-Indian-Creek-Trail-West.gpx,https://kcfrontrunners.github.io/routes/gpx/5989146-Indian-Creek-Trail-West.gpx,https://connect.garmin.com/app/course/439244832,,
5989140,Indian Creek Trail East,Indian Creek Trail East To Roe Ave,Indian Creek Trail East,,Indian Creek Trail East to Roe Ave,"Indian Creek Trail East: Indian Creek Trail, Roe",4.8437,sunday,5989140-Indian-Creek-Trail-East.gpx,https://kcfrontrunners.github.io/routes/gpx/5989140-Indian-Creek-Trail-East.gpx,https://connect.garmin.com/app/course/439244843,,
5973029,Tomahawk Creek Trail,Meet at 105th,Tomahawk Creek Trail,,Meet at 105th,Tomahawk Creek Trail: 105th,4.2336,sunday,5973029-Tomahawk-Creek-Trail.gpx,https://kcfrontrunners.github.io/routes/gpx/5973029-Tomahawk-Creek-Trail.gpx,https://connect.garmin.com/app/course/439244864,,
5973024,Waldo - 6 Miles,Meet at 74th - Trolley Trail north to 55th St and back,Waldo - 6 Miles,,Meet at 74th - Trolley Trail north to 55th St and back,"Waldo - 6 Miles: 74th - Trolley Trail, 55th",5.9174,sunday,5973024-Waldo-6-Miles.gpx,https://kcfrontrunners.github.io/routes/gpx/5973024-Waldo-6-Miles.gpx,https://connect.garmin.com/app/course/439244873,,
5973011,Armour Hills,Meet at 63rd,Armour Hills,,Meet at 63rd,Armour Hills: 63rd,3.9439,sunday,5973011-Armour-Hills.gpx,https://kcfrontrunners.github.io/routes/gpx/5973011-Armour-Hills.gpx,https://connect.garmin.com/app/course/439244890,,
5965565,Loose Park,"55th, Ward Pkwy, 63rd, Trolley Trail, 51st",Loose Park,,"55th, Ward Pkwy, 63rd, Trolley Trail, 51st","Loose Park: 55th, Ward Pkwy, 63rd",4.5138,loose_park,5965565-Loose-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/5965565-Loose-Park.gpx,https://connect.garmin.com/app/course/439244907,,
5962689,Little Blue Trace Trail - 5 Miles,Little Blue Trace Trail - 5 Miles - To RD Mize Rd,Little Blue Trace Trail - 5 Miles,,Little Blue Trace Trail - 5 Miles - to RD Mize Rd,"Little Blue Trace Trail - 5 Miles: Little Blue Trace Trail, Mize",5.9641,sunday,5962689-Little-Blue-Trace-Trail-5-Miles.gpx,https://kcfrontrunners.github.io/routes/gpx/5962689-Little-Blue-Trace-Trail-5-Miles.gpx,https://connect.garmin.com/app/course/439244914,,
5956676,Loose Park,Crestwood - 51st to Cherry to Kenwood to 63rd and back the Trolley Trail,Loose Park,,Crestwood - 51st to Cherry to Kenwood to 63rd and back the Trolley Trail,"Loose Park: Crestwood - 51st, Cherry, Kenwood",5.5531,loose_park,5956676-Loose-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/5956676-Loose-Park.gpx,https://connect.garmin.com/app/course/439244942,,
5948214,Loose Park,"Westwood Park, Plaza, Mill Creek, Nelson Atkins, UMKC Stairs",Loose Park,,"Westwood Park, Plaza, Mill Creek, Nelson Atkins, UMKC Stairs","Loose Park: Westwood Park, Plaza, Mill Creek",5.0892,loose_park,5948214-Loose-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/5948214-Loose-Park.gpx,https://connect.garmin.com/app/course/439244981,,
5940489,Loose Park,51st/Wyandotte/Trolley Trail/63rd/Summit,Loose Park,,51st/Wyandotte/Trolley Trail/63rd/Summit,Loose Park: 51st/Wyandotte/Trolley Trail/63rd/Summit,3.9922,loose_park,5940489-Loose-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/5940489-Loose-Park.gpx,https://connect.garmin.com/app/course/439244994,,
5925620,Cliff Dr,Longer option,Cliff Dr,,Longer option,Cliff Dr: Longer option,5.9288,sunday,5925620-Cliff-Dr.gpx,https://kcfrontrunners.github.io/routes/gpx/5925620-Cliff-Dr.gpx,https://connect.garmin.com/app/course/439245088,,
5925062,Cliff Dr,Short option,Cliff Dr,,Short option,Cliff Dr: Short option,4.3231,sunday,5925062-Cliff-Dr.gpx,https://kcfrontrunners.github.io/routes/gpx/5925062-Cliff-Dr.gpx,https://connect.garmin.com/app/course/439245110,,
5924309,Crestwood,,Crestwood,,,Crestwood,4.2113,sunday,5924309-Crestwood.gpx,https://kcfrontrunners.github.io/routes/gpx/5924309-Crestwood.gpx,https://connect.garmin.com/app/course/439245125,,
5924308,City Market,Heritage Trail to KCK,City Market,,Heritage Trail to KCK,"City Market: Heritage Trail, KCK",5.0412,sunday,5924308-City-Market.gpx,https://kcfrontrunners.github.io/routes/gpx/5924308-City-Market.gpx,https://connect.garmin.com/app/course/439245170,,
5924302,Mission Hills - Arno Park,,Mission Hills - Arno Park,,,Arno Park: Mission Hills - Arno Park,4.3121,sunday,5924302-Mission-Hills-Arno-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/5924302-Mission-Hills-Arno-Park.gpx,https://connect.garmin.com/app/course/439245217,,
5907654,Hyde Park,,Hyde Park,,,Hyde Park,3.5922,sunday,5907654-Hyde-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/5907654-Hyde-Park.gpx,https://connect.garmin.com/app/course/439245262,,
