route_id,source_name,source_description,display_name,display_summary,display_description,garmin_name,distance_miles,origin,gpx_file_name,gpx_url,garmin_url,garmin_embed_url,notes
7683411,Loose Park,Huntington Downhill & North on Wyandotte.,Loose Park,,Huntington Downhill & North on Wyandotte.,Loose Park: Huntington Downhill & on,4.2593,loose_park,7683411-Loose-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/7683411-Loose-Park.gpx,https://connect.garmin.com/app/course/439242110,,
7649751,Union Station to Westport,"South on Wyandotte to Wesport, return on Pennsylvania",Union Station to Westport,,"South on Wyandotte to Wesport, return on Pennsylvania","Union Station to Westport: on Wyandotte, Wesport, on Pennsylvania",5.7092,sunday,7649751-Untitled-7649751.gpx,https://kcfrontrunners.github.io/routes/gpx/7649751-Untitled-7649751.gpx,https://connect.garmin.com/app/course/439242157,,
7647396,Rock Island Trail - Vale Trailhead,Meet at Vale Trailhead off Bannister Rd - Run south to Lee's Summit,Rock Island Trail - Vale Trailhead,,Meet at Vale Trailhead off Bannister Rd - Run south to Lee's Summit,"Rock Island Trail - Vale Trailhead: Vale Trailhead off Bannister, Lee' Summit",6.1086,sunday,7647396-Rock-Island-Trail-Vale-Trailhead.gpx,https://kcfrontrunners.github.io/routes/gpx/7647396-Rock-Island-Trail-Vale-Trailhead.gpx,https://connect.garmin.com/app/course/439242180,,
7634386,Mill Creek,Hyde Park - Wyandotte N to 36th St E to Brush Creek (46th) W to 47th W to Mill Creek Park,Mill Creek,,Hyde Park - Wyandotte N to 36th St E to Brush Creek (46th) W to 47th W to Mill Creek Park,"Mill Creek: Hyde Park - Wyandotte, 36th, Brush Creek",5.2535,mill_creek,7634386-Mill-Creek.gpx,https://kcfrontrunners.github.io/routes/gpx/7634386-Mill-Creek.gpx,https://connect.garmin.com/app/course/439242199,,
7631533,Volker,"Roanoke Park on Valentine to Bell south through Westwood Park to 50th St, then north on Genessee to Roanoke Road to Karnes back to the Roanoke Community Center",Volker,,"Roanoke Park on Valentine to Bell south through Westwood Park to 50th St, then north on Genessee to Roanoke Road to Karnes back to the Roanoke Community Center","Volker: Roanoke Park on Valentine, Bell through Westwood Park, 50th",4.7075,sunday,7631533-Volker.gpx,https://kcfrontrunners.github.io/routes/gpx/7631533-Volker.gpx,https://connect.garmin.com/app/course/439242211,,
7630224,Mill Creek,N on Penn around lake and up to Liberty Memorial and back on Wyandotte.,Mill Creek,,N on Penn around lake and up to Liberty Memorial and back on Wyandotte.,"Mill Creek: on Penn around lake, up, Liberty Memorial",6.1638,mill_creek,7630224-Mill-Creek.gpx,https://kcfrontrunners.github.io/routes/gpx/7630224-Mill-Creek.gpx,https://connect.garmin.com/app/course/439242224,,
7629417,Mill Creek,PLAZA - 47th to Wyoming to Ward Parkway to 47th east to Harrison to Gillham Park and back on 41st St to Oak to 43rd St.,Mill Creek,,PLAZA - 47th to Wyoming to Ward Parkway to 47th east to Harrison to Gillham Park and back on 41st St to Oak to 43rd St.,"Mill Creek: Plaza - 47th, Wyoming, Ward Parkway",5.0066,mill_creek,7629417-Mill-Creek.gpx,https://kcfrontrunners.github.io/routes/gpx/7629417-Mill-Creek.gpx,https://connect.garmin.com/app/course/439242244,,
7594953,Lawrence KS,Start at 810 Pennsylvania,Lawrence KS,,Start at 810 Pennsylvania,Lawrence KS: 810 Pennsylvania,6.0161,sunday,7594953-Lawrence-KS.gpx,https://kcfrontrunners.github.io/routes/gpx/7594953-Lawrence-KS.gpx,https://connect.garmin.com/app/course/439242268,,
7591688,Loose Park,Mission 3A - Mission Drive to 63rd St and North on Summit back to Loose Park,Loose Park,,Mission 3A - Mission Drive to 63rd St and North on Summit back to Loose Park,"Loose Park: Mission 3A - Mission, 63rd, on Summit",4.2824,loose_park,7591688-Loose-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/7591688-Loose-Park.gpx,https://connect.garmin.com/app/course/439242284,,
7591684,Loose Park,Mission Hills 3 - Summit to 55th St to Mission Hills Drive to 63rd St to Trolley Trail back to Loose Park.,Loose Park,,Mission Hills 3 - Summit to 55th St to Mission Hills Drive to 63rd St to Trolley Trail back to Loose Park.,"Loose Park: Mission Hills 3, 55th, Mission Hills",5.7121,loose_park,7591684-Loose-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/7591684-Loose-Park.gpx,https://connect.garmin.com/app/course/439242302,,
7572631,Loose Park,Bellevue S to 63rd E to Morningside N to 57th to the Trolley Trail to 51st and back to the park.,Loose Park,,Bellevue S to 63rd E to Morningside N to 57th to the Trolley Trail to 51st and back to the park.,"Loose Park: Bellevue, 63rd, Morningside",4.3811,loose_park,7572631-Loose-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/7572631-Loose-Park.gpx,https://connect.garmin.com/app/course/439242317,,
7567085,Mill Creek,43rd to Brush Creek to Gillham to 36th to Janseen Place to Harrison to Gilliam to 41st St to Oak to 43rd St.,Mill Creek,,43rd to Brush Creek to Gillham to 36th to Janseen Place to Harrison to Gilliam to 41st St to Oak to 43rd St.,"Mill Creek: 43rd, Brush Creek, Gillham",5.1199,mill_creek,7567085-Mill-Creek.gpx,https://kcfrontrunners.github.io/routes/gpx/7567085-Mill-Creek.gpx,https://connect.garmin.com/app/course/439242325,,
7552813,Armour Hills - Summit St to Loose Park,63rd St to Summit St N to Loose Park and back.,Armour Hills - Summit St to Loose Park,,63rd St to Summit St N to Loose Park and back.,"Loose Park: Armour Hills - Summit St to Loose Park, 63rd, Summit",3.9056,loose_park,7552813-Armour-Hills-Summit-St-to-Loose-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/7552813-Armour-Hills-Summit-St-to-Loose-Park.gpx,https://connect.garmin.com/app/course/439242340,,
7551726,Mill Creek,47th St to Roanoke to Westport Rd to Bell N to 39th St E to Wyoming to Valentine Rd to Pennsylvania to Westport Rd to Central St.,Mill Creek,,47th St to Roanoke to Westport Rd to Bell N to 39th St E to Wyoming to Valentine Rd to Pennsylvania to Westport Rd to Central St.,"Mill Creek: 47th, Roanoke, Westport",4.5434,mill_creek,7551726-Mill-Creek.gpx,https://kcfrontrunners.github.io/routes/gpx/7551726-Mill-Creek.gpx,https://connect.garmin.com/app/course/439242392,,
7478998,Indian Creek Trail 1/2 Marathon,Starting at 103rd going west 3.5 miles past the freeway then reversed back to starting point and then going east 3 miles until the freeway and then reversed back to the starting point.,Indian Creek Trail 1/2 Marathon,,Starting at 103rd going west 3.5 miles past the freeway then reversed back to starting point and then going east 3 miles until the freeway and then reversed back to the starting point.,"Indian Creek Trail 1/2 Marathon: 103rd going 3, 5 miles freeway, reversed",13.2071,sunday,7478998-Indian-Creek-Trail-12-Marathon.gpx,https://kcfrontrunners.github.io/routes/gpx/7478998-Indian-Creek-Trail-12-Marathon.gpx,https://connect.garmin.com/app/course/439242548,,
